_id,stockTicker,stockName,currentPrice,marketCap,sector
1,AAAP,Advanced Accelerator Applications S.A.,81,3418580619,Health Care
2,AABA,Altaba Inc.,76.01,66385466948.68,Technology
3,AAL,"American Airlines Group, Inc.",53.88,25781530053.24,Transportation
4,AAME,Atlantic American Corporation,3.75,76647791.25,Finance
5,AAOI,"Applied Optoelectronics, Inc.",33.49,649109409.14,Technology
6,AAON,"AAON, Inc.",36.15,1896731720.1,Capital Goods
7,AAPL,Apple Inc.,167.78,853506255680,Technology
8,AAWW,Atlas Air Worldwide Holdings,56.7,1433551770,Transportation
9,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,80.6,5400200000,n/a
10,AAXN,"Axon Enterprise, Inc.",25.84,1367265950.96,Capital Goods
11,ABAC,"Renmin Tianli Group, Inc.",2.77,22114973.65,Consumer Non-Durables
12,ABAX,"ABAXIS, Inc.",72.68,1649617960,Capital Goods
13,ABCB,Ameris Bancorp,54.5,2036839672.5,Finance
14,ABCD,"Cambium Learning Group, Inc.",6.93,323422247.61,Consumer Services
15,ABDC,Alcentra Capital Corp.,7.9,112537238,n/a
16,ABEO,Abeona Therapeutics Inc.,15.65,732032772.05,Health Care
17,ABEOW,Abeona Therapeutics Inc.,10.5,0,Health Care
18,ABIL,Ability Inc.,0.422,10869091.924,Finance
19,ABIO,"ARCA biopharma, Inc.",1.75,20564209.75,Health Care
20,ABLX,Ablynx NV,54.74,719529930,Health Care
21,ABMD,"ABIOMED, Inc.",253.13,11192432783.85,Health Care
22,ABTX,"Allegiance Bancshares, Inc.",40.15,529238991.6,Finance
23,ABUS,Arbutus Biopharma Corporation,5.05,280537574.75,Health Care
24,ACAD,ACADIA Pharmaceuticals Inc.,30.26,3758462575.62,Health Care
25,ACBI,"Atlantic Capital Bancshares, Inc.",18.05,464393757.3,Finance
26,ACER,Acer Therapeutics Inc.,19.35,145075328.55,Health Care
27,ACERW,Acer Therapeutics Inc.,0.0113,0,Health Care
28,ACET,Aceto Corporation,10.91,334296081.14,Health Care
29,ACFC,Atlantic Coast Financial Corporation,10.47,162847333.23,Finance
30,ACGL,Arch Capital Group Ltd.,91.24,11940945949.76,Finance
31,ACGLO,Arch Capital Group Ltd.,24.39,0,Finance
32,ACGLP,Arch Capital Group Ltd.,23.34,0,Finance
33,ACHC,"Acadia Healthcare Company, Inc.",35.23,3095082292.77,Health Care
34,ACHN,"Achillion Pharmaceuticals, Inc.",2.72,374973031.04,Health Care
35,ACHV,"Achieve Life Sciences, Inc. ",1.51,18040990.76,Health Care
36,ACIA,"Acacia Communications, Inc.",39.54,1556979628.2,Technology
37,ACIU,AC Immune SA,13.23,753081261.66,Health Care
38,ACIW,"ACI Worldwide, Inc.",23.76,2817442362.24,Technology
